Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
SRR12129014_star	79.12	35076209.0
SRR12129015_star	65.97	14075276.0
SRR12129016_star	76.34	36297386.0
SRR12129017_star	77.77	35274383.0
SRR12129018_star	79.57	18443252.0
SRR12129019_star	75.79	27888231.0
SRR12129020_star	81.75	26923925.0
SRR12129021_star	78.74	37261251.0
SRR12129022_star	81.76	25593898.0
SRR12129023_star	75.83	33655997.0
SRR12129024_star	76.74	13693423.0
SRR12129025_star	79.72	27757158.0
SRR12129026_star	86.1	20773131.0
SRR12129027_star	76.29	25475374.0
SRR12129028_star	62.29	21956542.0
SRR12129029_star	77.69	28337952.0
SRR12129030_mm39_star	89.41	41021428.0
SRR12129030_star	13.36	6129736.0
SRR12129031_mm39_star	89.01	37823378.0
SRR12129031_star	14.66	6228104.0
SRR12129032_mm39_star	89.17	30530526.0
SRR12129032_star	13.21	4523997.0
SRR12129033_mm39_star	88.38	32567752.0
SRR12129033_star	13.6	5012418.0
SRR12129034_mm39_star	88.83	44592113.0
SRR12129034_star	13.3	6675242.0
SRR12129035_mm39_star	87.06	33945106.0
SRR12129035_star	14.47	5641200.0
SRR12129036_mm39_star	87.98	46591587.0
SRR12129036_star	14.28	7563444.0
SRR12129037_mm39_star	88.08	45311836.0
SRR12129037_star	14.02	7210951.0
SRR12129038_mm39_star	63.4	11868427.0
SRR12129038_star	10.78	2018609.0
SRR12129039_mm39_star	87.57	61138947.0
SRR12129039_star	12.77	8918187.0
SRR12129040_mm39_star	87.85	27106642.0
SRR12129040_star	13.8	4257584.0
SRR12129041_mm39_star	88.75	38839430.0
SRR12129041_star	15.16	6635747.0
SRR12129042_mm39_star	87.26	38402452.0
SRR12129042_star	15.49	6818124.0
SRR12129043_mm39_star	86.57	38771215.0
SRR12129043_star	14.93	6688572.0
SRR12129044_mm39_star	86.24	34985574.0
SRR12129044_star	15.2	6166910.0
