Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR12129014_star	44334264.0	152.0	35076209.0	79.12	151.36	20384683.0	20281639.0	20191907.0	162386.0	15290.0	15100.0	0.34	0.0	1.45	0.0	1.18	2864783.0	6.46	133702.0	0.3	0.0	14.07	0.04	0	6241825	17745
SRR12129015_star	21334926.0	152.0	14075276.0	65.97	151.11	6242826.0	6200637.0	6182552.0	46721.0	2518.0	11035.0	0.41	0.01	1.88	0.01	1.52	1866670.0	8.75	45815.0	0.21	0.0	25.03	0.04	0	5338633	8532
SRR12129016_star	47546016.0	152.0	36297386.0	76.34	151.38	21138723.0	21041809.0	20910768.0	187177.0	13985.0	26793.0	0.35	0.01	1.72	0.0	1.17	3730388.0	7.85	128807.0	0.27	0.0	15.52	0.03	0	7375179	14256
SRR12129017_star	45358648.0	152.0	35274383.0	77.77	151.27	22355718.0	22229743.0	22120522.0	200116.0	16821.0	18259.0	0.35	0.0	1.57	0.0	1.24	3982395.0	8.78	168312.0	0.37	0.0	13.04	0.04	0	5915413	18145
SRR12129018_star	23179423.0	152.0	18443252.0	79.57	151.32	10446428.0	10386648.0	10347588.0	81232.0	7503.0	10105.0	0.36	0.0	1.73	0.0	1.73	1867623.0	8.06	62296.0	0.27	0.0	12.04	0.07	0	2790031	16221
SRR12129019_star	36795034.0	152.0	27888231.0	75.79	151.33	15654358.0	15597979.0	15550069.0	86789.0	9327.0	8173.0	0.36	0.0	1.63	0.0	1.3	1758835.0	4.78	60836.0	0.17	0.0	19.24	0.02	0	7079773	7359
SRR12129020_star	32935088.0	152.0	26923925.0	81.75	151.38	13798667.0	13742869.0	13707571.0	74528.0	7982.0	8586.0	0.33	0.01	1.65	0.0	1.32	2185932.0	6.64	60050.0	0.18	0.0	11.4	0.03	0	3755299	9882
SRR12129021_star	47322094.0	152.0	37261251.0	78.74	151.4	22298662.0	22170998.0	22063103.0	199659.0	17167.0	18733.0	0.35	0.0	1.58	0.0	1.31	4512463.0	9.54	152255.0	0.32	0.0	11.36	0.04	0	5377191	18934
SRR12129022_star	31303172.0	152.0	25593898.0	81.76	151.37	15183152.0	15112917.0	15031379.0	128237.0	11149.0	12387.0	0.34	0.0	1.61	0.0	1.51	2472548.0	7.9	100258.0	0.32	0.0	9.98	0.04	0	3123947	12521
SRR12129023_star	44385149.0	152.0	33655997.0	75.83	151.33	19009567.0	18898430.0	18823959.0	153820.0	14224.0	17564.0	0.36	0.0	1.59	0.0	1.36	3906219.0	8.8	140807.0	0.32	0.0	15.02	0.03	0	6668806	13320
