Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR14870694_1	32.76396703947981	45.0	100.0	100	0.0	60999488.0
SRR14870694_2	32.59318990910917	45.0	100.0	100	0.0	60999488.0
SRR14870695_1	31.639114629963373	45.0	100.0	100	0.0	61799538.0
SRR14870695_2	31.807211332991912	45.0	100.0	100	0.0	61799538.0
SRR14870696_1	32.5930779529221	48.0	100.0	100	0.0	69930408.0
SRR14870696_2	33.16866429970686	48.0	100.0	100	0.0	69930408.0
SRR14870697_1	33.19684041662315	46.0	100.0	100	0.0	61454036.0
SRR14870697_2	34.020779888526846	46.0	100.0	100	0.0	61454036.0
SRR14870698_1	33.19049264198752	45.0	100.0	100	0.0	65338853.0
SRR14870698_2	33.33046807954099	44.0	100.0	100	0.0	65338853.0
SRR14870699_1	34.323154904929595	46.0	100.0	100	0.0	67707815.0
SRR14870699_2	34.80626080294283	46.0	100.0	100	0.0	67707815.0
