Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR14870695_paired.1	SRR14870695_paired.1.fastq	Conventional base calls	Sanger / Illumina 1.9	60883440.0	0.0	2-100	45.0	70.02454117532221	95.61609311169015	100	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR14870695_paired.2	SRR14870695_paired.2.fastq	Conventional base calls	Sanger / Illumina 1.9	60883440.0	0.0	2-100	45.0	68.97481800117242	94.115333364869	100	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
SRR14870695_unpaired.1	SRR14870695_unpaired.1.fastq	Conventional base calls	Sanger / Illumina 1.9	667463.0	0.0	2-100	47.0	95.13160669680954	64.60637668305209	72	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR14870695_unpaired.2	SRR14870695_unpaired.2.fastq	Conventional base calls	Sanger / Illumina 1.9	225722.0	0.0	2-100	45.0	89.6177345315046	54.74081392154952	50	pass	pass	pass	pass	pass	pass	warn	pass	warn	pass
SRR14870696_paired.1	SRR14870696_paired.1.fastq	Conventional base calls	Sanger / Illumina 1.9	69017076.0	0.0	2-100	48.0	69.06442913064352	96.74175553307995	100	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
SRR14870696_paired.2	SRR14870696_paired.2.fastq	Conventional base calls	Sanger / Illumina 1.9	69017076.0	0.0	2-100	48.0	67.97227296839763	94.66680709568165	100	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
SRR14870696_unpaired.1	SRR14870696_unpaired.1.fastq	Conventional base calls	Sanger / Illumina 1.9	667938.0	0.0	2-100	50.0	95.14899464541934	63.508460366081884	70	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR14870696_unpaired.2	SRR14870696_unpaired.2.fastq	Conventional base calls	Sanger / Illumina 1.9	221092.0	0.0	2-100	49.0	88.26729202378802	50.10617299585693	38	pass	pass	pass	pass	pass	pass	warn	pass	warn	pass
SRR14870697_paired.1	SRR14870697_paired.1.fastq	Conventional base calls	Sanger / Illumina 1.9	60682623.0	0.0	2-100	46.0	68.62498163657865	96.47903789524722	100	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR14870697_paired.2	SRR14870697_paired.2.fastq	Conventional base calls	Sanger / Illumina 1.9	60682623.0	0.0	2-100	46.0	66.99566619182397	94.93466032277477	100	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
SRR14870697_unpaired.1	SRR14870697_unpaired.1.fastq	Conventional base calls	Sanger / Illumina 1.9	555003.0	0.0	2-100	48.0	95.29634187023468	62.91247434698551	68	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR14870697_unpaired.2	SRR14870697_unpaired.2.fastq	Conventional base calls	Sanger / Illumina 1.9	196616.0	0.0	2-100	47.0	83.08098025922342	52.89210440655898	44	pass	pass	pass	pass	pass	pass	warn	pass	warn	pass
SRR14870698_paired.1	SRR14870698_paired.1.fastq	Conventional base calls	Sanger / Illumina 1.9	64319846.0	0.0	2-100	45.0	68.469575482018	95.87133610363433	100	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR14870698_paired.2	SRR14870698_paired.2.fastq	Conventional base calls	Sanger / Illumina 1.9	64319846.0	0.0	2-100	44.0	67.47763444867697	93.65120933280842	100	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
SRR14870698_unpaired.1	SRR14870698_unpaired.1.fastq	Conventional base calls	Sanger / Illumina 1.9	777173.0	0.0	2-100	46.0	95.06450906624369	65.21305037617107	74	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR14870698_unpaired.2	SRR14870698_unpaired.2.fastq	Conventional base calls	Sanger / Illumina 1.9	216054.0	0.0	2-100	45.0	88.06640082560286	50.51694483786461	40	pass	pass	pass	pass	pass	pass	warn	pass	warn	pass
SRR14870699_paired.1	SRR14870699_paired.1.fastq	Conventional base calls	Sanger / Illumina 1.9	66676940.0	0.0	2-100	46.0	67.17749432724933	96.62001630548733	100	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR14870699_paired.2	SRR14870699_paired.2.fastq	Conventional base calls	Sanger / Illumina 1.9	66676940.0	0.0	2-100	46.0	66.3585162989574	93.879398364712	100	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
SRR14870699_unpaired.1	SRR14870699_unpaired.1.fastq	Conventional base calls	Sanger / Illumina 1.9	776598.0	0.0	2-100	48.0	95.09189022829804	64.92572991431861	74	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR14870699_unpaired.2	SRR14870699_unpaired.2.fastq	Conventional base calls	Sanger / Illumina 1.9	226163.0	0.0	2-100	46.0	87.15810715751583	48.07308003519586	34	pass	pass	pass	pass	pass	pass	warn	pass	warn	pass
