Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR14870695_paired.1	29.975458824677787	45.0	95.61609311169015	100	0.0	60883440.0
SRR14870695_paired.2	31.025181998827577	45.0	94.115333364869	100	0.0	60883440.0
SRR14870695_unpaired.1	4.868393303190459	47.0	64.60637668305209	72	0.0	667463.0
SRR14870695_unpaired.2	10.382265468495405	45.0	54.74081392154952	50	0.0	225722.0
SRR14870696_paired.1	30.935570869356482	48.0	96.74175553307995	100	0.0	69017076.0
SRR14870696_paired.2	32.02772703160237	48.0	94.66680709568165	100	0.0	69017076.0
SRR14870696_unpaired.1	4.851005354580664	50.0	63.508460366081884	70	0.0	667938.0
SRR14870696_unpaired.2	11.732707976211984	49.0	50.10617299585693	38	0.0	221092.0
SRR14870697_paired.1	31.375018363421347	46.0	96.47903789524722	100	0.0	60682623.0
SRR14870697_paired.2	33.00433380817603	46.0	94.93466032277477	100	0.0	60682623.0
SRR14870697_unpaired.1	4.703658129765316	48.0	62.91247434698551	68	0.0	555003.0
SRR14870697_unpaired.2	16.919019740776577	47.0	52.89210440655898	44	0.0	196616.0
SRR14870698_paired.1	31.530424517982	45.0	95.87133610363433	100	0.0	64319846.0
SRR14870698_paired.2	32.522365551323034	44.0	93.65120933280842	100	0.0	64319846.0
SRR14870698_unpaired.1	4.935490933756313	46.0	65.21305037617107	74	0.0	777173.0
SRR14870698_unpaired.2	11.933599174397145	45.0	50.51694483786461	40	0.0	216054.0
SRR14870699_paired.1	32.822505672750665	46.0	96.62001630548733	100	0.0	66676940.0
SRR14870699_paired.2	33.6414837010426	46.0	93.879398364712	100	0.0	66676940.0
SRR14870699_unpaired.1	4.908109771701959	48.0	64.92572991431861	74	0.0	776598.0
SRR14870699_unpaired.2	12.841892842484171	46.0	48.07308003519586	34	0.0	226163.0
