Module	Section	Sample Name	Source
FastQC	all_sections	SRR14870695_paired.1	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870695_paired.1_fastqc.zip
FastQC	all_sections	SRR14870695_paired.2	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870695_paired.2_fastqc.zip
FastQC	all_sections	SRR14870695_unpaired.1	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870695_unpaired.1_fastqc.zip
FastQC	all_sections	SRR14870695_unpaired.2	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870695_unpaired.2_fastqc.zip
FastQC	all_sections	SRR14870696_paired.1	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870696_paired.1_fastqc.zip
FastQC	all_sections	SRR14870696_paired.2	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870696_paired.2_fastqc.zip
FastQC	all_sections	SRR14870696_unpaired.1	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870696_unpaired.1_fastqc.zip
FastQC	all_sections	SRR14870696_unpaired.2	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870696_unpaired.2_fastqc.zip
FastQC	all_sections	SRR14870697_paired.1	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870697_paired.1_fastqc.zip
FastQC	all_sections	SRR14870697_paired.2	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870697_paired.2_fastqc.zip
FastQC	all_sections	SRR14870697_unpaired.1	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870697_unpaired.1_fastqc.zip
FastQC	all_sections	SRR14870697_unpaired.2	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870697_unpaired.2_fastqc.zip
FastQC	all_sections	SRR14870698_paired.1	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870698_paired.1_fastqc.zip
FastQC	all_sections	SRR14870698_paired.2	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870698_paired.2_fastqc.zip
FastQC	all_sections	SRR14870698_unpaired.1	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870698_unpaired.1_fastqc.zip
FastQC	all_sections	SRR14870698_unpaired.2	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870698_unpaired.2_fastqc.zip
FastQC	all_sections	SRR14870699_paired.1	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870699_paired.1_fastqc.zip
FastQC	all_sections	SRR14870699_paired.2	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870699_paired.2_fastqc.zip
FastQC	all_sections	SRR14870699_unpaired.1	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870699_unpaired.1_fastqc.zip
FastQC	all_sections	SRR14870699_unpaired.2	/students/2024-2025/Thema05/BlaasKanker/fastqc_trimmed/SRR14870699_unpaired.2_fastqc.zip
