Type	MGI ID	Symbol	Name	Chr	Start	End	Build	Strand	Best Match Type	Best Match	Match Score
protein coding gene	MGI:1858907	Blcap	bladder cancer associated protein	2	157398282	157408281	GRCm39	-	Name	bladder cancer associated protein	3
protein coding gene	MGI:1928478	Brinp1	bone morphogenic protein/retinoic acid inducible neural specific 1	4	68679751	68872634	GRCm39	-	old name	deleted in bladder cancer 1 (human)	3
protein coding gene	MGI:1098273	Amacr	alpha-methylacyl-CoA racemase	15	10981875	10995693	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:88042	Apex1	apurinic/apyrimidinic endonuclease 1	14	51162425	51164596	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1915192	Atp5mc2	ATP synthase membrane subunit c locus 2	15	102571303	102579482	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1096327	Axin1	axin 1	17	26357662	26414785	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1	106465908	106642004	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:88184	Bmyc	brain expressed myelocytomatosis oncogene	2	25596891	25597733	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:104537	Brca1	breast cancer 1, early onset	11	101379590	101442781	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1277950	Casp9	caspase 9	4	141520923	141543287	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:103198	Cdc25a	cell division cycle 25A	9	109704647	109722963	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:99551	Cdh13	cadherin 13	8	119010472	120051660	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:88351	Cdk1	cyclin dependent kinase 1	10	69170976	69188742	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:88357	Cdk4	cyclin dependent kinase 4	10	126899404	126903157	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4	89192710	89212856	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:104737	Cdkn2b	cyclin dependent kinase inhibitor 2B	4	89224536	89229276	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1355321	Chek2	checkpoint kinase 2	5	110987845	111022011	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:105303	Cxcr2	C-X-C motif chemokine receptor 2	1	74193153	74200405	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:88588	Cyp1a1	cytochrome P450, family 1, subfamily a, polypeptide 1	9	57595211	57611107	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:103238	Cyp2c29	cytochrome P450, family 2, subfamily c, polypeptide 29	19	39275541	39319157	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1306806	Cyp2c37	cytochrome P450, family 2. subfamily c, polypeptide 37	19	39980868	40000687	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1306819	Cyp2c38	cytochrome P450, family 2, subfamily c, polypeptide 38	19	39379109	39451519	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1306818	Cyp2c39	cytochrome P450, family 2, subfamily c, polypeptide 39	19	39499306	39556973	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:2147497	Cyp2c50	cytochrome P450, family 2, subfamily c, polypeptide 50	19	40078132	40102394	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1919553	Cyp2c65	cytochrome P450, family 2, subfamily c, polypeptide 65	19	39049459	39082388	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1917138	Cyp2c66	cytochrome P450, family 2, subfamily c, polypeptide 66	19	39102342	39175200	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1916885	Dapk1	death associated protein kinase 1	13	60749761	60911005	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:95405	Ephx1	epoxide hydrolase 1, microsomal	1	180817121	180845134	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:95410	Erbb2	erb-b2 receptor tyrosine kinase 2	11	98303310	98328542	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:95413	Ercc2	excision repair cross-complementing rodent repair deficiency, complementation group 2	7	19115942	19129619	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1341823	Fanca	Fanconi anemia, complementation group A	8	123995039	124045315	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:95484	Fas	Fas cell surface death receptor	19	34268066	34305172	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:99255	Fasl	Fas ligand	1	161608260	161616064	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:95515	Fgf1	fibroblast growth factor 1	18	38971726	39062525	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:95516	Fgf2	fibroblast growth factor 2	3	37402616	37464255	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:95523	Fgfr2	fibroblast growth factor receptor 2	7	129764181	129868538	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:95524	Fgfr3	fibroblast growth factor receptor 3	5	33879068	33894412	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1277947	Fhit	fragile histidine triad gene	14	11307738	12919681	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:95860	Gstm1	glutathione S-transferase, mu 1	3	107919571	107925289	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:95861	Gstm2	glutathione S-transferase, mu 2	3	107889018	107893736	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:106026	Gstm3	glutathione S-transferase, mu 3	3	107871019	107876484	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1309467	Gstm6	glutathione S-transferase, mu 6	3	107846163	107851065	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:95865	Gstp1	glutathione S-transferase, pi 1	19	4085411	4087912	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:95864	Gstp2	glutathione S-transferase, pi 2	19	4090288	4092221	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:2385078	Gstp3	glutathione S-transferase pi 3	19	4107477	4109569	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
pseudogene	MGI:3782108	Gstp-ps	glutathione S-transferase, pi, pseudogene	1	191758120	191758750	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:107379	Gstt1	glutathione S-transferase, theta 1	10	75619647	75634418	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:96224	Hras	Harvey rat sarcoma virus oncogene	7	140770839	140773938	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:96244	Hspa1a	heat shock protein 1A	17	35188335	35191132	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:96547	Il1rn	interleukin 1 receptor antagonist	2	24226872	24241503	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:96548	Il2	interleukin 2	3	37174862	37180103	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1095419	Kdm6a	lysine (K)-specific demethylase 6A	X	18028814	18146175	GRCm39	+	Disease Ortholog	bladder urothelial carcinoma (subterm of urinary bladder cancer, with synonym bladder cancer)	3
protein coding gene	MGI:96683	Kdr	kinase insert domain protein receptor	5	76093487	76139118	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:96680	Kras	Kirsten rat sarcoma viral oncogene homolog	6	145162425	145195965	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1346869	Map2k4	mitogen-activated protein kinase kinase 4	11	65579069	65679123	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:96977	Mgmt	O-6-methylguanine-DNA methyltransferase	7	136496343	136731995	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
miRNA gene	MGI:3619426	Mir494	microRNA 494	12	109681752	109681836	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
polymorphic pseudogene	MGI:1933846	Mmp1a	matrix metallopeptidase 1a (interstitial collagenase)	9	7464141	7476857	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1933847	Mmp1b	matrix metallopeptidase 1b (interstitial collagenase)	9	7368239	7388047	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
